Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year,Month,Month_Name,Quarter,Day_of_Week,Day_Name,Is_Weekend,Profit_Margin_Pct,Revenue_Per_Unit,Profit_Per_Unit,Order_Value_Category
B-25730,8293,2632,8,Office Supplies,Binders,COD,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,2020,10,October,4,5,Saturday,1,31.73761003255758,1036.625,329.0,Premium
B-25730,8293,2632,8,Office Supplies,Binders,COD,2023-08-21,Austin White,California,Los Angeles,2023-08,2023,8,August,3,0,Monday,0,31.73761003255758,1036.625,329.0,Premium
B-25730,2863,205,17,Electronics,Phones,UPI,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,2022,1,January,1,2,Wednesday,0,7.1603213412504365,168.41176470588235,12.058823529411764,Medium
B-25730,2863,205,17,Electronics,Phones,UPI,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,2020,10,October,4,5,Saturday,1,7.1603213412504365,168.41176470588235,12.058823529411764,Medium
B-25730,2863,205,17,Electronics,Phones,UPI,2023-08-21,Austin White,California,Los Angeles,2023-08,2023,8,August,3,0,Monday,0,7.1603213412504365,168.41176470588235,12.058823529411764,Medium
B-26470,3090,573,6,Furniture,Tables,EMI,2024-12-27,Morgan Montes,California,San Diego,2024-12,2024,12,December,4,4,Friday,0,18.54368932038835,515.0,95.5,Medium
B-26470,3090,573,6,Furniture,Tables,EMI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,2021,6,June,2,4,Friday,0,18.54368932038835,515.0,95.5,Medium
B-26470,3090,573,6,Furniture,Tables,EMI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,2023,5,May,2,5,Saturday,1,18.54368932038835,515.0,95.5,Medium
B-26470,3090,573,6,Furniture,Tables,EMI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,2021,10,October,4,1,Tuesday,0,18.54368932038835,515.0,95.5,Medium
B-26470,9683,1014,5,Electronics,Printers,UPI,2024-12-27,Morgan Montes,California,San Diego,2024-12,2024,12,December,4,4,Friday,0,10.471961169059176,1936.6,202.8,Premium
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,2021,6,June,2,4,Friday,0,10.471961169059176,1936.6,202.8,Premium
B-26470,9683,1014,5,Electronics,Printers,UPI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,2023,5,May,2,5,Saturday,1,10.471961169059176,1936.6,202.8,Premium
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,2021,10,October,4,1,Tuesday,0,10.471961169059176,1936.6,202.8,Premium
B-25988,2463,648,18,Furniture,Tables,EMI,2022-09-19,Connie Holmes,Ohio,Cincinnati,2022-09,2022,9,September,3,0,Monday,0,26.30937880633374,136.83333333333334,36.0,Low
B-25568,7811,1538,12,Furniture,Sofas,COD,2022-03-25,Melissa Peck,Florida,Miami,2022-03,2022,3,March,1,4,Friday,0,19.690180514658813,650.9166666666666,128.16666666666666,Premium
B-26730,6139,451,10,Furniture,Tables,Debit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,5,Saturday,1,7.346473366997882,613.9,45.1,High
B-26730,6139,451,10,Furniture,Tables,Debit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,0,Monday,0,7.346473366997882,613.9,45.1,High
B-26730,8636,3192,3,Furniture,Chairs,COD,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,5,Saturday,1,36.96155627605373,2878.6666666666665,1064.0,Premium
B-26730,8636,3192,3,Furniture,Chairs,COD,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,0,Monday,0,36.96155627605373,2878.6666666666665,1064.0,Premium
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,5,Saturday,1,38.56724487497184,233.6315789473684,90.10526315789474,Medium
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,0,Monday,0,38.56724487497184,233.6315789473684,90.10526315789474,Medium
B-25372,1016,172,20,Furniture,Tables,Debit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,0,Monday,0,16.92913385826772,50.8,8.6,Low
B-25372,5768,2059,14,Furniture,Tables,UPI,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,0,Monday,0,35.696948682385575,412.0,147.07142857142858,High
B-25372,1217,151,3,Furniture,Tables,Credit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,0,Monday,0,12.407559572719803,405.6666666666667,50.333333333333336,Low
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,3,Thursday,0,9.758656873032528,476.5,46.5,Low
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,3,Thursday,0,9.758656873032528,476.5,46.5,Low
B-26026,7355,1034,3,Furniture,Sofas,COD,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,3,Thursday,0,14.05846363018355,2451.6666666666665,344.6666666666667,High
B-26026,7355,1034,3,Furniture,Sofas,COD,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,3,Thursday,0,14.05846363018355,2451.6666666666665,344.6666666666667,High
B-26026,1843,248,3,Electronics,Phones,Credit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,3,Thursday,0,13.456321215409659,614.3333333333334,82.66666666666667,Low
B-26026,1843,248,3,Electronics,Phones,Credit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,3,Thursday,0,13.456321215409659,614.3333333333334,82.66666666666667,Low
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,3,Thursday,0,22.52027448533999,160.3,36.1,Low
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,3,Thursday,0,22.52027448533999,160.3,36.1,Low
B-25295,2025,528,1,Office Supplies,Pens,Credit Card,2024-01-28,Paul Rogers,Florida,Miami,2024-01,2024,1,January,1,6,Sunday,1,26.074074074074073,2025.0,528.0,Low
B-25295,6800,167,16,Office Supplies,Binders,EMI,2024-01-28,Paul Rogers,Florida,Miami,2024-01,2024,1,January,1,6,Sunday,1,2.4558823529411766,425.0,10.4375,High
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-01-16,Jon Banks,Florida,Tampa,2022-01,2022,1,January,1,6,Sunday,1,4.8845470692717585,1126.0,55.0,Low
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-12-16,Michelle Williams,New York,Buffalo,2022-12,2022,12,December,4,4,Friday,0,4.8845470692717585,1126.0,55.0,Low
B-25560,7533,3508,12,Furniture,Tables,UPI,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,3,Thursday,0,46.56843223151467,627.75,292.3333333333333,Premium
B-25560,4734,1178,16,Office Supplies,Binders,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,3,Thursday,0,24.883819180397126,295.875,73.625,Medium
B-25560,4074,1175,6,Electronics,Electronic Games,Debit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,3,Thursday,0,28.841433480608735,679.0,195.83333333333334,Medium
B-25560,2334,484,3,Furniture,Sofas,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,3,Thursday,0,20.7369323050557,778.0,161.33333333333334,Low
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,2025,3,March,1,0,Monday,0,45.054545454545455,250.0,112.63636363636364,Medium
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,2024,9,September,3,1,Tuesday,0,45.054545454545455,250.0,112.63636363636364,Medium
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,2025,3,March,1,0,Monday,0,35.93008450052089,454.6842105263158,163.3684210526316,Premium
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,2024,9,September,3,1,Tuesday,0,35.93008450052089,454.6842105263158,163.3684210526316,Premium
B-25872,3808,1192,4,Office Supplies,Markers,UPI,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,2020,4,April,2,0,Monday,0,31.30252100840336,952.0,298.0,Medium
B-25872,2588,705,16,Office Supplies,Pens,Credit Card,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,2020,4,April,2,0,Monday,0,27.24111282843895,161.75,44.0625,Medium
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-06-27,Emily Gill,Illinois,Springfield,2022-06,2022,6,June,2,0,Monday,0,45.69453174104337,318.2,145.4,Low
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2021-03-14,Brian Patrick,Florida,Tampa,2021-03,2021,3,March,1,6,Sunday,1,45.69453174104337,318.2,145.4,Low
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-02-23,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,2022,2,February,1,2,Wednesday,0,45.69453174104337,318.2,145.4,Low
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-03-29,Douglas Mcfarland,Ohio,Cleveland,2022-03,2022,3,March,1,1,Tuesday,0,35.40125213431987,175.7,62.2,Low
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-11-20,Kayla Ross,Illinois,Peoria,2022-11,2022,11,November,4,6,Sunday,1,35.40125213431987,175.7,62.2,Low
B-25142,6940,253,15,Furniture,Bookcases,Debit Card,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,2021,11,November,4,4,Friday,0,3.645533141210375,462.6666666666667,16.866666666666667,High
B-25142,5105,465,5,Electronics,Printers,UPI,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,2021,11,November,4,4,Friday,0,9.10871694417238,1021.0,93.0,High
B-25326,5578,277,16,Furniture,Tables,COD,2021-08-17,Charlene Brown,Florida,Miami,2021-08,2021,8,August,3,1,Tuesday,0,4.965937612047329,348.625,17.3125,High
B-25326,5578,277,16,Furniture,Tables,COD,2022-05-16,Charles Smith,Ohio,Columbus,2022-05,2022,5,May,2,0,Monday,0,4.965937612047329,348.625,17.3125,High
B-26795,5224,1958,16,Furniture,Chairs,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,6,Sunday,1,37.480857580398165,326.5,122.375,High
B-26795,5002,1801,11,Office Supplies,Markers,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,6,Sunday,1,36.00559776089564,454.72727272727275,163.72727272727272,High
B-26795,7380,1673,18,Office Supplies,Markers,COD,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,6,Sunday,1,22.66937669376694,410.0,92.94444444444444,High
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2020-08-18,Steven Cox,California,Los Angeles,2020-08,2020,8,August,3,1,Tuesday,0,37.8275181040158,1898.75,718.25,Premium
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2022-04-19,Cynthia Rodriguez,New York,Rochester,2022-04,2022,4,April,2,1,Tuesday,0,37.8275181040158,1898.75,718.25,Premium
B-25410,1954,294,7,Furniture,Sofas,Debit Card,2022-12-23,Jessica Baker,Texas,Austin,2022-12,2022,12,December,4,4,Friday,0,15.046059365404298,279.14285714285717,42.0,Low
B-25690,523,95,20,Electronics,Printers,EMI,2024-12-07,Mark Blackburn,Texas,Dallas,2024-12,2024,12,December,4,5,Saturday,1,18.164435946462714,26.15,4.75,Low
B-26464,5704,714,13,Electronics,Laptops,EMI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,3,Thursday,0,12.517531556802245,438.7692307692308,54.92307692307692,High
B-26464,5704,714,13,Electronics,Laptops,EMI,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,6,Sunday,1,12.517531556802245,438.7692307692308,54.92307692307692,High
B-26464,8797,1010,8,Furniture,Tables,UPI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,3,Thursday,0,11.481186768216437,1099.625,126.25,Premium
B-26464,8797,1010,8,Furniture,Tables,UPI,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,6,Sunday,1,11.481186768216437,1099.625,126.25,Premium
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,3,Thursday,0,31.38804677349502,1847.2,579.8,Premium
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,6,Sunday,1,31.38804677349502,1847.2,579.8,Premium
B-26454,9109,586,17,Furniture,Sofas,EMI,2020-05-17,Becky Leach,Florida,Miami,2020-05,2020,5,May,2,6,Sunday,1,6.433197936107146,535.8235294117648,34.470588235294116,Premium
B-26742,4358,526,19,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12,2022,12,December,4,0,Monday,0,12.069756769160165,229.3684210526316,27.68421052631579,Medium
B-26742,4358,526,19,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09,2024,9,September,3,1,Tuesday,0,12.069756769160165,229.3684210526316,27.68421052631579,Medium
B-26742,6459,825,8,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12,2022,12,December,4,0,Monday,0,12.772875058058522,807.375,103.125,High
B-26742,6459,825,8,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09,2024,9,September,3,1,Tuesday,0,12.772875058058522,807.375,103.125,High
B-25510,2478,92,12,Furniture,Bookcases,COD,2023-05-08,Jason Randolph,California,San Francisco,2023-05,2023,5,May,2,0,Monday,0,3.7126715092816784,206.5,7.666666666666667,Low
B-25510,2478,92,12,Furniture,Bookcases,COD,2021-03-03,Laura Andrews,New York,New York City,2021-03,2021,3,March,1,2,Wednesday,0,3.7126715092816784,206.5,7.666666666666667,Low
B-25510,2478,92,12,Furniture,Bookcases,COD,2021-03-18,Mrs. Stephanie Hooper,California,San Francisco,2021-03,2021,3,March,1,3,Thursday,0,3.7126715092816784,206.5,7.666666666666667,Low
B-25510,2478,92,12,Furniture,Bookcases,COD,2023-04-24,Anthony Evans,Ohio,Cleveland,2023-04,2023,4,April,2,0,Monday,0,3.7126715092816784,206.5,7.666666666666667,Low
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2021-10-09,Patrick Williams,New York,Rochester,2021-10,2021,10,October,4,5,Saturday,1,36.98959167333867,499.6,184.8,Premium
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2022-04-15,Susan Burke,Texas,Austin,2022-04,2022,4,April,2,4,Friday,0,36.98959167333867,499.6,184.8,Premium
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2022-08-29,Brent Hernandez,New York,Rochester,2022-08,2022,8,August,3,0,Monday,0,36.98959167333867,499.6,184.8,Premium
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2021-10-09,Patrick Williams,New York,Rochester,2021-10,2021,10,October,4,5,Saturday,1,35.55463145857158,1374.142857142857,488.57142857142856,Premium
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2022-04-15,Susan Burke,Texas,Austin,2022-04,2022,4,April,2,4,Friday,0,35.55463145857158,1374.142857142857,488.57142857142856,Premium
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2022-08-29,Brent Hernandez,New York,Rochester,2022-08,2022,8,August,3,0,Monday,0,35.55463145857158,1374.142857142857,488.57142857142856,Premium
B-25884,9538,3158,20,Electronics,Printers,Credit Card,2024-09-04,Sean Elliott,California,San Francisco,2024-09,2024,9,September,3,2,Wednesday,0,33.10966659677081,476.9,157.9,Premium
B-25884,9538,3158,20,Electronics,Printers,Credit Card,2021-05-18,Wanda West,Ohio,Cleveland,2021-05,2021,5,May,2,1,Tuesday,0,33.10966659677081,476.9,157.9,Premium
B-25884,9035,1227,14,Furniture,Chairs,EMI,2024-09-04,Sean Elliott,California,San Francisco,2024-09,2024,9,September,3,2,Wednesday,0,13.580520199225235,645.3571428571429,87.64285714285714,Premium
B-25884,9035,1227,14,Furniture,Chairs,EMI,2021-05-18,Wanda West,Ohio,Cleveland,2021-05,2021,5,May,2,1,Tuesday,0,13.580520199225235,645.3571428571429,87.64285714285714,Premium
B-26287,2684,670,2,Office Supplies,Paper,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,1,Tuesday,0,24.96274217585693,1342.0,335.0,Medium
B-26287,822,147,5,Furniture,Sofas,Credit Card,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,1,Tuesday,0,17.88321167883212,164.4,29.4,Low
B-26287,9730,2341,2,Furniture,Chairs,EMI,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,1,Tuesday,0,24.059609455292907,4865.0,1170.5,Premium
B-26287,2483,236,2,Electronics,Electronic Games,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,1,Tuesday,0,9.50463149416029,1241.5,118.0,Low
B-26564,1297,600,7,Office Supplies,Binders,Credit Card,2024-02-16,Daryl Miles,Florida,Orlando,2024-02,2024,2,February,1,4,Friday,0,46.26060138781804,185.28571428571428,85.71428571428571,Low
B-26564,7909,1942,19,Electronics,Phones,COD,2024-02-16,Daryl Miles,Florida,Orlando,2024-02,2024,2,February,1,4,Friday,0,24.554305221899103,416.2631578947368,102.21052631578948,Premium
B-26293,9768,4518,8,Furniture,Tables,Credit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,4,Friday,0,46.253071253071255,1221.0,564.75,Premium
B-26293,4968,934,5,Furniture,Sofas,Debit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,4,Friday,0,18.800322061191626,993.6,186.8,Medium
B-26293,1731,149,4,Electronics,Laptops,EMI,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,4,Friday,0,8.607741190063548,432.75,37.25,Low
B-25915,3433,1169,10,Office Supplies,Binders,COD,2024-02-01,Adam Clark,California,San Francisco,2024-02,2024,2,February,1,3,Thursday,0,34.05184969414506,343.3,116.9,Medium
B-25915,3433,1169,10,Office Supplies,Binders,COD,2021-09-09,Amy Olsen,Illinois,Springfield,2021-09,2021,9,September,3,3,Thursday,0,34.05184969414506,343.3,116.9,Medium
